dt,switch,src,dst,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,Protocol,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps
11425,1,10.0.0.1,10.0.0.8,45304,48294064,100,716000000,1.01E+11,3,1943,13535,14428310,451,0,UDP,2,3795,1402,0,0,0
11425,1,10.0.0.1,10.0.0.8,45304,48294064,100,716000000,1.01E+11,3,1943,13535,14428310,451,0,UDP,2,3795,1492,0,0,0
11425,1,10.0.0.1,10.0.0.8,45304,48294064,100,716000000,1.01E+11,3,1943,13535,14428310,451,0,UDP,2,4047,193291210,0,6307,6307
11425,1,10.0.0.1,10.0.0.8,45304,48294064,100,716000000,1.01E+11,3,1943,13535,14428310,451,0,UDP,1,3879,48410560,0,3838,3838
11425,1,10.0.0.1,10.0.0.8,45304,48294064,100,716000000,1.01E+11,3,1943,13535,14428310,451,0,UDP,2,4055,96412666,0,3838,3838
11425,1,10.0.0.1,10.0.0.8,45304,48294064,100,716000000,1.01E+11,3,1943,13535,14428310,451,0,UDP,3,3413,3665,0,0,0
11425,1,10.0.0.2,10.0.0.8,90333,96294978,200,744000000,2.01E+11,3,1943,13534,14427244,451,0,UDP,1,3570,1492,0,0,0
11455,1,10.0.0.2,10.0.0.8,103866,110721156,230,747000000,2.31E+11,3,1943,13533,14426178,451,0,UDP,1,3775,1242,0,0,0
11605,1,10.0.0.1,10.0.0.8,126395,134737070,280,734000000,2.81E+11,2,1943,13531,14424046,451,0,UDP,3,4766,352966170,0,6400,6400
11515,1,10.0.0.1,10.0.0.8,85676,91330616,190,726000000,1.91E+11,3,1943,13306,14184196,443,0,UDP,2,3795,1492,0,0,0
11515,1,10.0.0.1,10.0.0.8,85676,91330616,190,726000000,1.91E+11,3,1943,13306,14184196,443,0,UDP,4,498833803,4715,12831,0,12831
11515,1,10.0.0.1,10.0.0.8,85676,91330616,190,726000000,1.91E+11,3,1943,13306,14184196,443,0,UDP,3,231187421,4169,7676,0,7676
11515,1,10.0.0.1,10.0.0.8,85676,91330616,190,726000000,1.91E+11,3,1943,13306,14184196,443,0,UDP,3,3413,3665,0,0,0
11425,1,10.0.0.2,10.0.0.8,90333,96294978,200,744000000,2.01E+11,3,1943,13534,14427244,451,0,UDP,3,3959,144824155,0,7676,7676
11425,1,10.0.0.2,10.0.0.8,90333,96294978,200,744000000,2.01E+11,3,1943,13534,14427244,451,0,UDP,2,3413,3665,0,0,0
11425,1,10.0.0.2,10.0.0.8,90333,96294978,200,744000000,2.01E+11,3,1943,13534,14427244,451,0,UDP,4,3665,3413,0,0,0
11425,1,10.0.0.2,10.0.0.8,90333,96294978,200,744000000,2.01E+11,3,1943,13534,14427244,451,0,UDP,3,3665,3413,0,0,0
11425,1,10.0.0.1,10.0.0.8,45304,48294064,100,716000000,1.01E+11,3,1943,13535,14428310,451,0,UDP,4,161293091,4043,10271,0,10271
11425,1,10.0.0.2,10.0.0.8,90333,96294978,200,744000000,2.01E+11,3,1943,13534,14427244,451,0,UDP,1,3795,1242,0,0,0
11425,1,10.0.0.2,10.0.0.8,90333,96294978,200,744000000,2.01E+11,3,1943,13534,14427244,451,0,UDP,3,4043,161293091,0,10271,10271
11425,1,10.0.0.2,10.0.0.8,90333,96294978,200,744000000,2.01E+11,3,1943,13534,14427244,451,0,UDP,1,3775,1242,0,0,0
11425,1,10.0.0.2,10.0.0.8,90333,96294978,200,744000000,2.01E+11,3,1943,13534,14427244,451,0,UDP,4,4127,226233337,0,2587,2587
11425,1,10.0.0.2,10.0.0.8,90333,96294978,200,744000000,2.01E+11,3,1943,13534,14427244,451,0,UDP,3,226233337,4127,2587,0,2587
11425,1,10.0.0.2,10.0.0.8,90333,96294978,200,744000000,2.01E+11,3,1943,13534,14427244,451,0,UDP,3,4295,354583059,0,16577,16577
11425,1,10.0.0.2,10.0.0.8,90333,96294978,200,744000000,2.01E+11,3,1943,13534,14427244,451,0,UDP,3,3413,3665,0,0,0
11425,1,10.0.0.2,10.0.0.8,90333,96294978,200,744000000,2.01E+11,3,1943,13534,14427244,451,0,UDP,4,3917,143928631,0,0,0
11425,1,10.0.0.2,10.0.0.8,90333,96294978,200,744000000,2.01E+11,3,1943,13534,14427244,451,0,UDP,2,4095,82306108,0,2587,2587
11425,1,10.0.0.2,10.0.0.8,90333,96294978,200,744000000,2.01E+11,3,1943,13534,14427244,451,0,UDP,1,3885,1492,0,0,0
9906,1,10.0.0.1,10.0.0.7,32914,35086324,73,246000000,73246000000,2,1931,13385,14268410,446,0,ICMP,2,3472,1172,0,0,0
9906,1,10.0.0.1,10.0.0.7,32914,35086324,73,246000000,73246000000,2,1931,13385,14268410,446,0,UDP,4,3465,147630566,0,6467,6467
9906,1,10.0.0.1,10.0.0.7,32914,35086324,73,246000000,73246000000,2,1931,13385,14268410,446,0,UDP,2,3236,3432,0,0,0
9906,1,10.0.0.1,10.0.0.7,32914,35086324,73,246000000,73246000000,2,1931,13385,14268410,446,0,UDP,1,3492,1332,0,0,0
9906,1,10.0.0.1,10.0.0.7,32914,35086324,73,246000000,73246000000,2,1931,13385,14268410,446,0,UDP,1,273821796,1844,16188,0,16188
